country,year,che_pc_usd,che_perc_gdp,insurance_perc_che,population,public_perc_che
COUNTRY_0309,2014,1.7581148564294633,2.068685064794062,2.0133333333333336,1.487478508576705,1.7910447761194028
COUNTRY_0309,2015,1.7723158551810236,2.085917455621533,2.0133333333333336,1.4895755560678503,1.7910447761194028
COUNTRY_0309,2016,1.650593008739076,1.866490565576379,2.0133333333333336,1.4914074043854304,1.82089552238806
COUNTRY_0309,2017,1.6604244694132335,1.875445984928485,2.0266666666666664,1.4928938385302324,1.8656716417910448
COUNTRY_0309,2018,1.683832709113608,1.890154343830324,2.0266666666666664,1.494175068145082,1.8805970149253728
COUNTRY_0309,2019,1.7239388264669162,1.938012175404499,2.0266666666666664,1.4952821170918449,1.8805970149253728
COUNTRY_0309,2020,1.6988139825218478,1.877277521478677,2.0266666666666664,1.4962916861257407,1.8656716417910448
COUNTRY_0309,2021,1.7395443196004994,2.0485587863224577,2.04,1.4969564122067305,1.8955223880597007
COUNTRY_0309,2022,1.759886079900125,2.0,2.0325111060000003,1.4973818468328222,1.8905060713432835
COUNTRY_06E4,2014,1.8269350811485645,1.8822723180381693,1.0,1.0011439961103403,1.805970149253732
COUNTRY_06E4,2015,1.8270911360799,1.8029708946941456,1.0,1.001419961536703,1.805970149253732
COUNTRY_06E4,2016,1.7070848938826466,1.486346922132317,1.0,1.0017808483173067,1.82089552238806
COUNTRY_06E4,2017,1.7301810237203497,1.501709534281269,1.0,1.0021950075598467,1.835820895522388
COUNTRY_06E4,2018,1.7771535580524345,1.488861002459969,1.0,1.002659152680424,1.835820895522388
COUNTRY_06E4,2019,1.851123595505618,1.5031991866158645,1.0,1.0031778286023647,1.8507462686567164
COUNTRY_06E4,2020,1.842852684144819,1.4644729804544028,1.0,1.0036870587000524,1.8656716417910448
COUNTRY_06E4,2021,1.9460049937578028,1.517445562906634,1.0,1.0041018139981106,1.9253731343283584
COUNTRY_06E4,2022,2.040886392009988,1.4998986624764163,1.0,1.0044363253220354,1.9104477611940296
COUNTRY_0C7D,2015,1.0738139825218478,1.3391728425234024,1.8666666666666667,1.1290235517016114,1.9253731343283584
COUNTRY_0C7D,2016,1.064294631710362,1.2468641763507962,1.8533333333333333,1.1281066610222417,1.9104477611940296
COUNTRY_0C7D,2017,1.0696004993757802,1.267257686616338,1.8533333333333333,1.1270396388592334,1.9104477611940296
COUNTRY_0C7D,2018,1.0819288389513109,1.3051995277899866,1.8266666666666669,1.1258614688991848,1.9253731343283584
COUNTRY_0C7D,2019,1.1025280898876404,1.3954597084599616,1.84,1.1246374440569815,1.9402985074626864
COUNTRY_0C7D,2020,1.1106429463171037,1.4136313263707962,1.8533333333333333,1.1234655575155204,1.9402985074626864
COUNTRY_0C7D,2021,1.1217228464419475,1.5004988354263389,1.8266666666666669,1.122415291135412,1.9402985074626864
COUNTRY_0C7D,2022,1.1274968789013733,1.4915517004965426,1.8266666666666669,1.1215053399496269,1.9267945985074628
COUNTRY_1007,2014,1.4867353308364544,1.8091981663043544,1.46,1.4624559240745143,1.8805970149253728
COUNTRY_1007,2015,1.4875156054931336,1.8102412934220533,1.4,1.4625402990445304,1.8656716417910448
COUNTRY_1007,2016,1.4129213483146068,1.6402588304635066,1.4266666666666667,1.4617961816799403,1.8507462686567164
COUNTRY_1007,2017,1.4166666666666667,1.633909587457998,1.42,1.4608501091158272,1.8507462686567164
COUNTRY_1007,2018,1.433832709113608,1.652743876823957,1.4266666666666667,1.4599014370873709,1.8507462686567164
COUNTRY_1007,2019,1.4639513108614233,1.705942423326694,1.413333333333333,1.4588533148514178,1.8507462686567164
COUNTRY_1007,2020,1.4495942571785267,1.6693839880579178,1.44,1.4576157297461765,1.8507462686567164
COUNTRY_1007,2021,1.472378277153558,1.8103609287131737,1.4266666666666667,1.455733576826428,1.8805970149253728
COUNTRY_1007,2022,1.518258426966292,1.8347307558632813,1.4,1.4535790844847187,1.878933194477612
COUNTRY_1033,2016,1.0296504369538078,1.1329115564130463,1.1333333333333333,1.5450907265624534,1.805970149253732
COUNTRY_1033,2017,1.031367041198502,1.1407049954881288,1.1333333333333333,1.5476789320791178,1.82089552238806
COUNTRY_1033,2018,1.034019975031211,1.1547788088058657,1.1333333333333333,1.55008935575894,1.82089552238806
COUNTRY_1033,2019,1.0383895131086145,1.1846126807192698,1.1333333333333333,1.5519901105779843,1.805970149253732
COUNTRY_1033,2020,1.0411985018726593,1.2049803806355528,1.1466666666666667,1.553479926509997,1.82089552238806
COUNTRY_1033,2021,1.0429151061173534,1.2558636832372814,1.1333333333333333,1.554869903142717,1.7910447761194028
COUNTRY_1033,2022,1.0448111735330836,1.269336737006249,1.1333333333333333,1.5559083560335971,1.7910447761194028
COUNTRY_221C,2014,1.0806803995006242,1.2905466899544351,1.76,1.597094252528871,1.9104477611940296
COUNTRY_221C,2015,1.0764669163545568,1.2487073419658454,1.7333333333333334,1.6098097393269577,1.9104477611940296
COUNTRY_221C,2016,1.0650749063670413,1.160073275046402,1.7333333333333334,1.6225099025310978,1.9104477611940296
COUNTRY_221C,2017,1.0671036204744069,1.1656704468742949,1.7333333333333334,1.6338781382871486,1.9104477611940296
COUNTRY_221C,2018,1.063514357053683,1.1208910963392489,1.7333333333333334,1.6427397619041333,1.9104477611940296
COUNTRY_221C,2019,1.0558676654182273,1.070459073492438,1.72,1.6486959956832998,1.8955223880597007
COUNTRY_221C,2020,1.0572721598002497,1.0782090939616502,1.7066666666666666,1.6542623263680962,1.9104477611940296
COUNTRY_221C,2021,1.056960049937578,1.0731577780887094,1.7066666666666666,1.6596743780162737,1.9253731343283584
