date,cluster_nl,prediction
2023-01-01,BRAND_9259_COUNTRY_6B71,1.1130321025848389
2023-02-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-03-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-04-01,BRAND_9259_COUNTRY_6B71,1.0730501413345337
2023-05-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-06-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-07-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-08-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-09-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-10-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-11-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-12-01,BRAND_9259_COUNTRY_6B71,1.0627796649932861
2023-01-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-02-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-03-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-04-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-05-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-06-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-07-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-08-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-09-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-10-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-11-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-12-01,BRAND_F649_COUNTRY_1033,0.9860219955444336
2023-01-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-02-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-03-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-04-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-05-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-06-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-07-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-08-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-09-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-10-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-11-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-12-01,BRAND_8779_COUNTRY_84C8,0.95490962266922
2023-01-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-02-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-03-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-04-01,BRAND_9E22_COUNTRY_5180,0.9412173628807068
2023-05-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-06-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-07-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-08-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-09-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-10-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-11-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-12-01,BRAND_9E22_COUNTRY_5180,0.9893884658813477
2023-01-01,BRAND_C352_COUNTRY_88A3,1.010347843170166
2023-02-01,BRAND_C352_COUNTRY_88A3,1.010347843170166
2023-03-01,BRAND_C352_COUNTRY_88A3,1.010347843170166
2023-04-01,BRAND_C352_COUNTRY_88A3,1.010347843170166
2023-05-01,BRAND_C352_COUNTRY_88A3,1.0257008075714111
2023-06-01,BRAND_C352_COUNTRY_88A3,1.0257008075714111
2023-07-01,BRAND_C352_COUNTRY_88A3,1.0257008075714111
2023-08-01,BRAND_C352_COUNTRY_88A3,1.0257008075714111
2023-09-01,BRAND_C352_COUNTRY_88A3,1.0257008075714111
2023-10-01,BRAND_C352_COUNTRY_88A3,1.0257008075714111
2023-11-01,BRAND_C352_COUNTRY_88A3,1.0257008075714111
2023-12-01,BRAND_C352_COUNTRY_88A3,1.0257008075714111
2023-01-01,BRAND_E57A_COUNTRY_458E,0.9924868941307068
2023-02-01,BRAND_E57A_COUNTRY_458E,0.9924868941307068
2023-03-01,BRAND_E57A_COUNTRY_458E,0.9924868941307068
2023-04-01,BRAND_E57A_COUNTRY_458E,0.9924868941307068
2023-05-01,BRAND_E57A_COUNTRY_458E,0.9924868941307068
2023-06-01,BRAND_E57A_COUNTRY_458E,0.9924868941307068
